Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",177.49,2.58,+1.48%,177.99,173.18,57266602,2023-10-06
ABBV,"Abbvie Inc",148.24,0.79,+0.54%,149.33,146.12,5370200,2023-10-06
ABT,"Abbott Laboratories",96.88,0.68,+0.71%,97.51,95.45,4790500,2023-10-06
ACN,"Accenture Plc",312.19,2.53,+0.82%,315.11,306.72,2441400,2023-10-06
ADBE,"Adobe Systems Inc",526.68,10.24,+1.98%,531.31,509.52,2526300,2023-10-06
AIG,"American International Group",60.87,0.72,+1.20%,61.19,59.8,3304600,2023-10-06
AMD,"Adv Micro Devices",107.24,4.33,+4.21%,107.87,102.03,64864000,2023-10-06
AMGN,"Amgen Inc",267.47,2.39,+0.90%,268.59,262.23,2837900,2023-10-06
AMT,"American Tower Corp",159.57,0.86,+0.54%,160.46,154.58,1878700,2023-10-06
AMZN,"Amazon.com Inc",127.96,2,+1.59%,128.45,124.13,46836699,2023-10-06
AVGO,"Broadcom Ltd",845.26,21.4,+2.60%,848.39,811.72,2110300,2023-10-06
AXP,"American Express Company",149.32,2.23,+1.52%,150.35,146.14,3204700,2023-10-06
BA,"Boeing Company",187.38,1.09,+0.59%,188.64,182.55,5364200,2023-10-06
BAC,"Bank of America Corp",26.07,0.01,+0.04%,26.23,25.47,58177199,2023-10-06
BK,"Bank of New York Mellon Corp",42.15,0.46,+1.10%,42.37,41.16,3673100,2023-10-06
BKNG,"Booking Holdings Inc",3049.44,30.68,+1.02%,3054.56,2997.49,205600,2023-10-06
BLK,"Blackrock Inc",648.26,7.96,+1.24%,651.51,634.54,608200,2023-10-06
BMY,"Bristol-Myers Squibb Company",56.66,0.24,+0.43%,56.88,56.17,8901101,2023-10-06
BRK.B,"Berkshire Hathaway Cl B",346.34,1.28,+0.37%,348.76,341.86,3176100,2023-10-06
C,"Citigroup Inc",40.57,0.69,+1.73%,40.85,39.51,17080000,2023-10-06
CAT,"Caterpillar Inc",266.04,5.24,+2.01%,268.42,258.27,2293400,2023-10-06
CHTR,"Charter Communications Inc",431.16,-0.62,-0.14%,435.65,425.43,1453800,2023-10-06
CL,"Colgate-Palmolive Company",69.43,0.16,+0.23%,69.57,67.62,6481000,2023-10-06
CMCSA,"Comcast Corp A",43.47,0.45,+1.05%,43.6,42.38,23466900,2023-10-06
COF,"Capital One Financial Corp",93.54,1.43,+1.55%,94.46,91.02,2314800,2023-10-06
COP,Conocophillips,115.33,1.91,+1.68%,116.59,113.16,4209600,2023-10-06
COST,"Costco Wholesale",557.53,-11.99,-2.11%,566.95,542.63,4246600,2023-10-06
CRM,"Salesforce Inc",207.36,5.35,+2.65%,208.27,199.89,4989100,2023-10-06
CSCO,"Cisco Systems Inc",53.45,0.38,+0.72%,53.74,52.74,15665500,2023-10-06
CVS,"CVS Corp",69.9,0.15,+0.22%,70.52,69.14,4278900,2023-10-06
CVX,"Chevron Corp",162.23,-1.67,-1.02%,164.37,158.99,10190400,2023-10-06
DE,"Deere & Company",378.54,2.85,+0.76%,381.88,372.32,1203400,2023-10-06
DHR,"Danaher Corp",217.23,0.36,+0.17%,218.68,213.27,2696200,2023-10-06
DIS,"Walt Disney Company",82.94,2.13,+2.64%,83.53,80.49,15391000,2023-10-06
DOW,"Dow Inc",50.28,0.42,+0.84%,50.92,49.53,4215700,2023-10-06
DUK,"Duke Energy Corp",86.92,1.44,+1.68%,87.04,83.06,3511900,2023-10-06
EMR,"Emerson Electric Company",95.04,1.45,+1.55%,95.92,93.26,2154700,2023-10-06
EXC,"Exelon Corp",38.08,0.67,+1.79%,38.17,36.35,6224100,2023-10-06
F,"Ford Motor Company",12,0.1,+0.84%,12.15,11.69,57558504,2023-10-06
FDX,"Fedex Corp",257.9,-1.26,-0.49%,260.43,257.33,1580500,2023-10-06
GD,"General Dynamics Corp",219.94,3.19,+1.47%,220.95,214.53,993800,2023-10-06
GE,"General Electric Company",111.47,2.75,+2.53%,111.9,107.95,4217200,2023-10-06
GILD,"Gilead Sciences Inc",74.74,0.04,+0.05%,75.01,73.91,4635200,2023-10-06
GM,"General Motors Company",30.9,0.59,+1.95%,31.36,29.87,22422201,2023-10-06
GOOG,"Alphabet Cl C",138.73,2.74,+2.01%,139.19,134.94,20826600,2023-10-06
GOOGL,"Alphabet Cl A",137.58,2.51,+1.86%,138.15,134.01,27597498,2023-10-06
GS,"Goldman Sachs Group",312.48,1.98,+0.64%,315.32,307.17,1595200,2023-10-06
HD,"Home Depot",292.82,1.12,+0.38%,294.54,287.39,2922400,2023-10-06
HON,"Honeywell International Inc",184.66,4.64,+2.58%,185.3,179.7,3770800,2023-10-06
IBM,"International Business Machines",142.03,0.51,+0.36%,142.94,140.11,3511300,2023-10-06
INTC,"Intel Corp",36.19,0.3,+0.84%,36.46,35.18,33262102,2023-10-06
JNJ,"Johnson & Johnson",157.64,0.5,+0.32%,158.3,156.59,5802200,2023-10-06
JPM,"JP Morgan Chase & Company",145.1,2.2,+1.54%,145.88,142.14,10270600,2023-10-06
KHC,"Kraft Heinz Company",32.03,-0.29,-0.90%,32.21,31.12,10106500,2023-10-06
KO,"Coca-Cola Company",53.14,0.76,+1.45%,53.29,51.55,30298801,2023-10-06
LIN,"Linde Plc",373.54,3.68,+0.99%,375.05,367.03,1571200,2023-10-06
LLY,"Eli Lilly and Company",565.22,23.74,+4.38%,566.36,542.71,4745100,2023-10-06
LMT,"Lockheed Martin Corp",400.73,3.38,+0.85%,402.42,393.77,1135500,2023-10-06
LOW,"Lowe's Companies",199.54,-0.26,-0.13%,202.04,197.56,2251000,2023-10-06
MA,"Mastercard Inc",397.97,3.77,+0.96%,401,390.5,2484100,2023-10-06
MCD,"McDonald's Corp",248.22,-4.01,-1.59%,250.82,245.73,5130600,2023-10-06
MDLZ,"Mondelez Intl Inc",63.36,-1.71,-2.63%,64.41,61.19,19041600,2023-10-06
MDT,"Medtronic Inc",76.12,-0.03,-0.04%,76.51,74.95,6762100,2023-10-06
MET,"Metlife Inc",61.32,1.03,+1.71%,61.62,59.57,3938300,2023-10-06
META,"Meta Platforms Inc",315.43,10.64,+3.49%,316.31,300.91,21803799,2023-10-06
MMM,"3M Company",88.4,0.57,+0.65%,89.21,86.33,4458000,2023-10-06
MO,"Altria Group",42.07,0.08,+0.19%,42.25,41.47,10053200,2023-10-06
MRK,"Merck & Company",103.88,0.28,+0.27%,104.43,102.92,6854900,2023-10-06
MS,"Morgan Stanley",80.33,1.18,+1.49%,80.79,78.4,6306400,2023-10-06
MSFT,"Microsoft Corp",327.26,7.9,+2.47%,329.19,316.3,25673600,2023-10-06
NEE,"Nextera Energy",50.24,0.79,+1.60%,50.5,47.15,24718400,2023-10-06
NFLX,"Netflix Inc",381.51,8.92,+2.39%,382.52,367.77,4778100,2023-10-06
NKE,"Nike Inc",97.11,1.32,+1.38%,97.71,95.06,8532899,2023-10-06
NVDA,"Nvidia Corp",457.62,10.74,+2.40%,457.89,440.26,43443598,2023-10-06
ORCL,"Oracle Corp",109.96,1.61,+1.49%,110.53,107.58,8246899,2023-10-06
PEP,"Pepsico Inc",160.29,0.19,+0.12%,160.92,155.83,12774600,2023-10-06
PFE,"Pfizer Inc",33.13,-0.34,-1.02%,33.56,33.07,23760398,2023-10-06
PG,"Procter & Gamble Company",144.09,0.29,+0.20%,144.55,141.45,7406600,2023-10-06
PM,"Philip Morris International Inc",92.17,0.19,+0.21%,92.24,90.51,4987300,2023-10-06
PYPL,"Paypal Holdings",57.77,0.29,+0.50%,58.25,55.86,18348600,2023-10-06
QCOM,"Qualcomm Inc",110.88,1.08,+0.98%,111.32,108.05,7930500,2023-10-06
RTX,"Rtx Corp",69.77,0.39,+0.56%,70.39,68.56,8540300,2023-10-06
SBUX,"Starbucks Corp",92.85,0.48,+0.52%,93.34,91.68,6979300,2023-10-06
SCHW,"The Charles Schwab Corp",51.52,0.46,+0.90%,51.85,49.66,11471200,2023-10-06
SO,"Southern Company",64.97,0.38,+0.59%,65.14,62.26,5158400,2023-10-06
SPG,"Simon Property Group",104.41,-0.13,-0.12%,105.35,102.82,1123800,2023-10-06
T,"AT&T Inc",14.45,-0.38,-2.56%,14.51,14.12,53313398,2023-10-06
TGT,"Target Corp",105.01,-0.14,-0.13%,106.27,102.93,7556800,2023-10-06
TMO,"Thermo Fisher Scientific Inc",498.55,0.53,+0.11%,502.16,493.07,1108400,2023-10-06
TMUS,"T-Mobile US",139.03,1.6,+1.16%,139.46,136.86,4871100,2023-10-06
TSLA,"Tesla Inc",260.53,0.48,+0.18%,261.65,250.65,118121797,2023-10-06
TXN,"Texas Instruments",157,1.89,+1.22%,158.1,153.56,5016300,2023-10-06
UNH,"Unitedhealth Group Inc",524.81,8.58,+1.66%,525.95,515.98,3647100,2023-10-06
UNP,"Union Pacific Corp",202.46,1.82,+0.91%,204.21,199.33,1760400,2023-10-06
UPS,"United Parcel Service",154.27,0.89,+0.58%,155.15,152.3,2383600,2023-10-06
USB,"U.S. Bancorp",31.86,-0.01,-0.03%,32.19,31.09,9414500,2023-10-06
V,"Visa Inc",235.04,1.56,+0.67%,236.59,232.75,6401200,2023-10-06
VZ,"Verizon Communications Inc",30.85,-0.97,-3.05%,31,30.14,31291699,2023-10-06
WFC,"Wells Fargo & Company",39.69,0.39,+0.99%,39.89,38.76,13976700,2023-10-06
WMT,"Walmart Inc",156.41,-2.67,-1.68%,158.99,151.65,14205301,2023-10-06
XOM,"Exxon Mobil Corp",107.17,-1.82,-1.67%,108.27,105.11,25367400,2023-10-06
"Downloaded from Barchart.com as of 10-08-2023 06:29pm CDT"
